W1,W2,W3,W4,Cue_Word,Cue_Pos,Cue,block
交响悦,旅游团,会议室,化妆品,1,2,悦,1
变压器,青哨年,参谋掌,工艺品,2,0,青,1
鼓风机,催化剂,农业社,抗生素,2,2,剂,1
障碍物,蒸馏水,暴风雨,高血压,4,2,压,1
设计图,储蓄卡,排球赛,科学馆,1,2,图,1
方程式,志愿军,副作用,代表团,2,0,志,1
葡萄糖,核电站,交响悦,留学生,1,1,萄,1
天花板,面包机,化妆品,变压器,4,2,器,1
出租车,广播剧,摄影师,放大镜,1,2,车,1
航天员,收银台,相对论,发动机,4,1,动,1
运输车,玻璃杯,免税店,猫头鹰,4,2,鹰,1
摄影师,广播剧,计算题,冷空气,3,0,计,1
志愿军,录取线,实验室,民主党,4,0,民,1
海平面,救护车,直辖市,奴隶制,4,2,制,1
西红柿,营业员,男籽汉,保温杯,4,1,温,1
传感器,蒸馏水,冷空气,绘画展,4,1,画,1
毕业证,进行曲,重要性,核电站,2,0,进,1
紫外线,儿童节,储蓄卡,技术员,3,1,蓄,1
天花板,魔术师,建筑师,动物园,4,0,动,1
超声波,放映厅,障碍物,建设部,2,0,放,1
加工厂,检察官,宇航员,写字台,3,0,宇,1
人行道,儿童节,工艺品,收银台,4,0,收,1
新闻稿,免税店,天花板,煤气灶,4,1,气,1
黑板报,化妆品,留学生,加工厂,4,2,厂,1
金黄色,免疫力,青哨年,民主党,2,0,免,1
参考书,儿童节,参谋掌,办事处,4,1,事,1
留学生,农业社,电动车,放映厅,1,1,学,1
幼儿园,葡萄糖,儿童节,保险箱,2,0,葡,1
抗生素,写字台,葡萄糖,交通灯,2,0,写,1
公安局,紫外线,金黄色,旅游团,4,1,游,1
抗生素,保险箱,黑板报,营业员,1,1,生,1
价值观,煤气灶,病原体,免税店,3,1,原,1
签名册,鼓风机,主人翁,防火墙,2,0,鼓,1
火车票,男籽汉,党中央,玻璃杯,1,2,票,1
乒乓球,主人翁,直辖市,收音机,1,1,乓,1
建筑师,爆破队,黑板报,加工厂,4,1,工,1
玻璃杯,图书馆,参谋掌,进行曲,3,0,参,1
理工科,保险箱,视网膜,笔记本,2,2,箱,1
暴风雨,抗生素,自然界,收银台,1,2,雨,1
黑板报,科学馆,免税店,普通话,2,2,馆,1
西红柿,摄影师,男籽汉,感染源,4,1,染,1
排球赛,高血压,价值观,运输车,4,2,车,2
暴风雨,接待室,冷空气,传感器,2,2,室,2
收银台,耗奇心,连锁店,党中央,1,1,银,2
录音机,连锁店,望远镜,教师节,3,0,望,2
火车票,招待所,猫头鹰,加工厂,3,0,猫,2
天花板,免疫力,绘画展,社会学,4,2,学,2
排球赛,创造力,电动车,反动派,1,1,球,2
乘务员,广播站,宇航员,交通灯,1,1,务,2
录音机,练习册,广播剧,人行道,3,0,广,2
技术员,耗奇心,签名册,乘务员,4,2,员,2
西红柿,广播站,耗奇心,连锁店,4,1,锁,2
消费者,暴风雨,单细胞,同位素,1,1,费,2
加工厂,反动派,保温杯,重要性,2,0,反,2
自来水,生产线,招待所,责任感,3,0,招,2
社会学,运输车,婚姻法,直辖市,1,1,会,2
催化剂,主人翁,交通灯,广播站,2,2,翁,2
责任感,技术员,招待所,重要性,4,0,重,2
自然界,介绍信,障碍物,视网膜,3,0,障,2
艺术品,内分泌,菜市场,俱乐部,2,0,内,2
面包机,氨基酸,传感器,摄影师,3,1,感,2
自然界,传感器,放映厅,金黄色,1,2,界,2
冷空气,广播剧,男籽汉,价值观,2,2,剧,2
绘画展,同位素,公安局,招待所,2,2,素,2
志愿军,金黄色,救护车,放映厅,4,1,映,2
穿山甲,参考书,出版社,毕业证,3,0,出,2
重要性,奴隶制,太阳能,呼吸道,3,1,阳,2
多边形,太阳能,生产线,录取线,1,2,形,2
穿山甲,畜牧业,青哨年,摄影师,2,0,畜,2
西红柿,神经元,太阳能,气象站,2,0,神,2
儿童节,营业员,生产线,穿山甲,1,1,童,2
建筑师,录取线,图书馆,练习册,2,2,线,2
广播站,绘画展,高利贷,马铃薯,4,1,铃,2
高血压,广播剧,广播站,农业社,4,2,社,2
农业社,建筑师,气象站,科学馆,3,1,象,2
毕业证,铁矿石,新闻稿,普通话,2,2,石,2
摄影师,呼吸道,收银台,婚姻法,4,2,法,2
会议室,核电站,交响悦,马铃薯,2,2,站,2
救护车,单细胞,民主党,爆破队,2,2,胞,2
国务院,绘画展,自来水,鼓风机,4,1,风,2
工艺品,方程式,创造力,动物园,1,2,品,2
抗生素,婚姻法,魔术师,放映厅,1,2,素,2
纪念碑,运输车,笔记本,图书馆,1,2,碑,3
同位素,相对论,签名册,天花板,4,0,天,3
营业员,太阳能,神经元,责任感,1,1,业,3
紫外线,煤气灶,创造力,铁矿石,4,0,铁,3
消费者,代表团,补习班,打字员,2,2,团,3
高血压,视网膜,男籽汉,催化剂,4,0,催,3
黑板报,接待室,参谋掌,出版社,4,2,社,3
幼儿园,留学生,宇航员,招待所,2,2,生,3
练习册,签名册,猫头鹰,广播站,4,0,广,3
核电站,葡萄糖,金黄色,暴风雨,3,1,黄,3
保温杯,男籽汉,副作用,化妆品,2,0,男,3
俱乐部,艺术品,救护车,代表团,3,1,护,3
运输车,婚姻法,多边形,志愿军,3,1,边,3
保险箱,写字台,自来水,同位素,4,1,位,3
高利贷,奴隶制,航天员,传叫士,1,1,利,3
灵敏度,绘画展,西红柿,救护车,3,1,红,3
志愿军,呼吸道,望远镜,消费者,2,2,道,3
研究生,玻璃杯,主人翁,抗生素,4,0,抗,3
航天员,设计图,玻璃杯,收音机,4,2,机,3
农业社,鼓风机,理工科,录取线,4,0,录,3
交响悦,免税店,视网膜,科学馆,3,1,网,3
气象站,放映厅,锦标赛,催化剂,1,2,站,3
面包机,灵敏度,锦标赛,免税店,2,0,灵,3
创造力,自然界,公安局,普通话,4,0,普,3
录音机,免税店,电动车,广播站,1,1,音,3
护理员,乘务员,乒乓球,打字员,1,2,员,3
旅游团,同位素,民主党,国务院,2,0,同,3
写字台,储蓄卡,广告牌,创造力,3,0,广,3
火车票,摄影师,马铃薯,青哨年,1,1,车,3
煤气灶,党中央,催化剂,广播站,3,1,化,3
责任感,儿童节,气象站,进行曲,2,2,节,3
穿山甲,消费者,神经元,俱乐部,1,1,山,3
储蓄卡,乒乓球,免税店,计算题,3,0,免,3
神经元,党中央,抗生素,连锁店,4,0,连,3
金黄色,魔术师,感染源,天花板,2,2,师,3
责任感,连锁店,办事处,电冰箱,4,1,冰,3
蒸馏水,人行道,放大镜,旅游团,3,0,放,3
创造力,技术员,图书馆,办事处,2,2,员,3
进行曲,蒸馏水,西红柿,传感器,4,0,传,3
金黄色,图书馆,公安局,会议室,4,2,室,3
煤气灶,奴隶制,合唱团,玻璃杯,1,2,灶,3
交响悦,科学馆,航天员,冷空气,2,0,科,4
收音机,合唱团,相对论,变压器,1,1,音,4
病原体,连锁店,传叫士,会议室,4,0,会,4
单细胞,民主党,教师节,灵敏度,2,2,党,4
化妆品,乒乓球,超声波,储蓄卡,2,0,乒,4
工艺品,护理员,保险箱,排球赛,4,2,赛,4
人行道,进行曲,民主党,技术员,1,2,道,4
障碍物,联合国,魔术师,动物园,2,2,国,4
研究生,银河系,科学馆,荧光屏,4,1,光,4
蒸馏水,加工厂,乘务员,留学生,4,0,留,4
动物园,党中央,参考书,消费者,1,2,园,4
荧光屏,实验室,人行道,魔术师,2,2,室,4
留学生,反动派,新闻稿,铁矿石,4,1,矿,4
魔术师,接待室,志愿军,传感器,1,1,术,4
副作用,自来水,录取线,冷空气,2,2,水,4
火车票,发动机,穿山甲,检察官,3,0,穿,4
单细胞,销售额,宇航员,望远镜,4,2,镜,4
超声波,录取线,图书馆,广告牌,4,1,告,4
