W1,W2,W3,Cue_Word,Cue_Pos,Cue
排山倒海,刻舟求剑,秋高气爽,1,1,山
仁至义尽,刮目相看,春暖花开,1,1,至
举案齐眉,才高八斗,闻鸡起舞,1,1,案
十拿九稳,自相矛盾,千再难逢,1,1,拿
守口如瓶,囫囵吞枣,悬梁刺股,1,1,口
刮目相看,繁花似锦,马到成功,1,1,目
比翼双飞,围魏救赵,风驰电掣,1,1,翼
欣欣向荣,精益求精,温故知新,1,1,欣
一举两得,言而有信,一诺千金,1,1,举
负荆请罪,十拿九稳,水滴石穿,1,1,荆
鹤立鸡群,舍己为人,背水宜战,1,1,立
琴瑟和鸣,自相矛盾,千再难逢,1,1,瑟
千军万马,博古通今,胸有成竹,1,1,军
水滴石穿,仁至义尽,纸上谈兵,1,1,滴
对牛弹琴,刻舟求剑,舍己为人,1,1,牛
退避三舍,围魏救赵,胸有成竹,1,1,避
雷厉风行,安居乐业,后生可畏,1,1,厉
风和日丽,望梅止渴,掩耳盗铃,1,1,和
如释重负,舍己为人,万无一失,1,1,释
东施效颦,秋高气爽,勇往直前,1,1,施
囫囵吞枣,鸟语花香,青出于蓝,1,1,囵
持之以恒,草船借箭,七步成诗,1,1,之
完璧归赵,东施效颦,唇亡齿寒,1,1,璧
门可罗雀,青出于蓝,盲人摸象,1,1,可
举一反三,退避三舍,同甘共苦,1,1,一
家喻户晓,七步成诗,光明磊落,1,1,喻
四面楚歌,博古通今,凿壁偷光,1,1,面
大张旗鼓,声势浩大,滥竽充数,1,1,张
一败涂地,画龙点睛,完璧归赵,1,1,败
山崩地裂,白头偕老,画蛇添足,1,1,崩
风起云涌,得不偿失,走马观花,1,1,起
卧薪尝胆,赤胆忠心,青出于蓝,1,1,薪
风驰电掣,肝胆相照,势不可挡,1,1,驰
山清水秀,守口如瓶,草木皆兵,1,1,清
才高八斗,举案齐眉,白头偕老,1,1,高
日出而作,走马观花,忠心耿耿,1,1,出
鸟语花香,疾如雷霆,纸上谈兵,1,1,语
言而有信,一举两得,相濡以沫,1,1,而
班门弄斧,疾如雷霆,悬梁刺股,1,1,门
目不暇接,对牛弹琴,旗开得胜,1,1,不
光明正大,一败涂地,秋高气爽,1,1,明
废寝忘食,雷霆万钧,风和日丽,1,2,忘
乐善浩施,家喻户晓,自相矛盾,1,2,浩
四面楚歌,大雪纷飞,家喻户晓,1,2,楚
退避三舍,十拿九稳,乐善浩施,1,2,三
三顾茅庐,秋高气爽,大公无私,1,2,茅
如释重负,滥竽充数,秋高气爽,1,2,重
背水宜战,繁花似锦,望梅止渴,1,2,宜
凿壁偷光,心花怒放,势不可挡,1,2,偷
忠心耿耿,程门立雪,翻天覆地,1,2,耿
喜出望外,光明磊落,奋发图强,1,2,望
画蛇添足,举一反三,大公无私,1,2,添
排山倒海,负荆请罪,七步成诗,1,2,倒
舍生取义,唇亡齿寒,青出于蓝,1,2,取
悬梁刺股,守株待兔,破釜沉舟,1,2,刺
旗开得胜,守株待兔,千军万马,1,2,得
鹤立鸡群,后生可畏,功亏宜篑,1,2,鸡
盲人摸象,指鹿围马,奋发图强,1,2,摸
才高八斗,学富五车,负荆请罪,1,2,八
纸上谈兵,风起云涌,水滴石穿,1,2,谈
