W1,W2,W3,Cue_Word,Cue_Pos,Cue,block
如释重负,持之以恒,唇枪舌剑,2,3,恒,1
惊弓之鸟,山崩地裂,赤胆忠心,2,2,地,1
自相矛盾,赤胆忠心,波澜壮阔,1,2,矛,1
持之以恒,叶公浩龙,洛阳纸贵,3,3,贵,1
卧薪尝胆,赤胆忠心,青出于蓝,1,1,薪,1
信守不渝,一诺千金,半途而废,1,2,不,1
学而不厌,繁花似锦,一往无前,2,2,似,1
海誓山盟,气势旁礴,同甘共苦,3,0,同,1
水滴石穿,仁至义尽,纸上谈兵,1,1,滴,1
山清水秀,守口如瓶,草木皆兵,1,1,清,1
锐不可当,风和日丽,力争上游,3,1,争,1
所向披靡,锐不可当,刻舟求剑,2,2,可,1
翻天覆地,欣欣向荣,囫囵吞枣,3,3,枣,1
釜底抽薪,乐善浩施,前功尽弃,3,3,弃,1
囫囵吞枣,繁花似锦,比翼双飞,2,0,繁,1
后生可畏,凿壁偷光,画龙点睛,3,1,龙,1
春暖花开,围魏救赵,自相矛盾,3,0,自,1
掩耳盗铃,刮目相看,信守不渝,3,0,信,1
完璧归赵,大雪纷飞,鹤立鸡群,2,0,大,1
精益求精,光明正大,胸有成竹,2,0,光,1
完璧归赵,国泰民安,舍己为人,3,0,舍,1
言而有信,悬梁刺股,相濡以沫,3,1,濡,1
三顾茅庐,舍己为人,舍生取义,2,2,为,1
锐不可当,风和日丽,刻舟求剑,1,3,当,1
惊弓之鸟,翻天覆地,东施效颦,2,3,地,1
才高八斗,举案齐眉,白头偕老,1,1,高,1
精益求精,围魏救赵,疾如雷霆,2,0,围,1
四面楚歌,精益求精,纸上谈兵,2,2,求,1
东施效颦,秋高气爽,勇往直前,1,1,施,1
举一反三,前功尽弃,光明正大,1,3,三,1
举一反三,退避三舍,同甘共苦,1,1,一,1
日出而作,走马观花,忠心耿耿,1,1,出,1
负荆请罪,功亏宜篑,安居乐业,1,3,罪,1
雷霆万钧,琴瑟和鸣,雷厉风行,1,3,钧,1
守口如瓶,东施效颦,青出于蓝,3,1,出,1
闻鸡起舞,春暖花开,草船借箭,2,0,春,1
排山倒海,成竹在胸,力争上游,1,3,海,1
背水宜战,一往无前,白雪皑皑,3,1,雪,1
白雪皑皑,滥竽充数,日出而作,3,3,作,1
一败涂地,画龙点睛,完璧归赵,1,1,败,1
程门立雪,如释重负,惊弓之鸟,1,2,立,1
温故知新,国泰民安,运筹帷幄,2,0,国,2
鹤立鸡群,舍己为人,背水宜战,1,1,立,2
舍己为人,翻天覆地,完璧归赵,2,0,翻,2
笨鸟先飞,风起云涌,夜以继日,3,1,以,2
繁花似锦,所向披靡,舍己为人,2,3,靡,2
功败垂成,门可罗雀,鹤立鸡群,3,3,群,2
夜以继日,绿树成荫,风驰电掣,2,2,成,2
目不暇接,对牛弹琴,旗开得胜,1,1,不,2
完璧归赵,功败垂成,万子千红,1,2,归,2
疾如雷霆,卧薪尝胆,一败涂地,3,3,地,2
得不偿失,锐不可当,掩耳盗铃,3,0,掩,2
疾如雷霆,温故知新,乐善浩施,2,2,知,2
十拿九稳,光明正大,惊弓之鸟,3,1,弓,2
博古通今,囫囵吞枣,秋高气爽,3,0,秋,2
千再难逢,勇往直前,破釜沉舟,2,3,前,2
后生可畏,十拿九稳,舍己为人,1,3,畏,2
得不偿失,揭竿而起,相濡以沫,1,2,偿,2
半途而废,锐不可当,相濡以沫,3,3,沫,2
声势浩大,夜以继日,所向披靡,3,0,所,2
滥竽充数,光明磊落,背水宜战,2,2,磊,2
举案齐眉,心花怒放,海誓山盟,2,3,放,2
胸有成竹,鸟语花香,水滴石穿,3,3,穿,2
触类旁通,一举两得,破釜沉舟,1,2,旁,2
同甘共苦,大公无私,画蛇添足,1,3,苦,2
围魏救赵,惊弓之鸟,大公无私,3,3,私,2
望梅止渴,刮目相看,画蛇添足,2,2,相,2
悬梁刺股,千再难逢,万子千红,2,0,千,2
仁至义尽,一败涂地,学富五车,1,2,义,2
破釜沉舟,卧薪尝胆,博古通今,3,3,今,2
翻天覆地,肝胆相照,秋高气爽,3,1,高,2
鹤立鸡群,后生可畏,功亏宜篑,1,2,鸡,2
囫囵吞枣,比翼双飞,风和日丽,3,0,风,2
揭竿而起,持之以恒,笨鸟先飞,2,0,持,2
前功尽弃,唇亡齿寒,雷霆万钧,3,0,雷,2
持之以恒,翻天覆地,精益求精,2,2,覆,2
白雪皑皑,喜出望外,安居乐业,3,3,业,2
半途而废,凿壁偷光,围魏救赵,3,1,魏,2
鸟语花香,笨鸟先飞,海誓山盟,3,1,誓,2
比翼双飞,围魏救赵,风驰电掣,1,1,翼,2
胸有成竹,万无一失,心花怒放,1,3,竹,2
喜出望外,比翼双飞,万子千红,2,2,双,2
如释重负,舍己为人,万无一失,1,1,释,3
言而有信,力争上游,同甘共苦,1,3,信,3
后生可畏,惊弓之鸟,围魏救赵,3,3,赵,3
一败涂地,水滴石穿,精益求精,2,0,水,3
滥竽充数,山清水秀,破釜沉舟,2,0,山,3
白雪皑皑,草船借箭,画龙点睛,3,0,画,3
四面楚歌,完璧归赵,赤胆忠心,2,0,完,3
旗开得胜,守株待兔,千军万马,1,2,得,3
白头偕老,五湖四海,万子千红,1,3,老,3
唇亡齿寒,一往无前,得不偿失,3,1,不,3
卧薪尝胆,盲人摸象,十拿九稳,2,0,盲,3
大公无私,后生可畏,笨鸟先飞,3,3,飞,3
欣欣向荣,自相矛盾,悬梁刺股,2,3,盾,3
千军万马,滥竽充数,成竹在胸,1,3,马,3
胸有成竹,卧薪尝胆,学富五车,2,2,尝,3
成竹在胸,持之以恒,唇亡齿寒,1,2,在,3
凿壁偷光,乐善浩施,安居乐业,2,3,施,3
繁花似锦,勇往直前,笨鸟先飞,2,0,勇,3
釜底抽薪,望梅止渴,草船借箭,1,3,薪,3
叶公浩龙,得不偿失,雷厉风行,1,2,浩,3
学富五车,半途而废,乐善浩施,1,2,五,3
走马观花,天作之合,学富五车,2,2,之,3
四面楚歌,一往无前,鸟语花香,1,3,歌,3
万子千红,学富五车,触类旁通,3,1,类,3
琴瑟和鸣,自相矛盾,千再难逢,1,1,瑟,3
风起云涌,纸上谈兵,心花怒放,2,3,兵,3
水滴石穿,指鹿围马,前功尽弃,2,0,指,3
掩耳盗铃,七步成诗,心花怒放,3,1,花,3
盲人摸象,悬梁刺股,水滴石穿,2,3,股,3
舍己为人,学富五车,举一反三,2,0,学,3
